source,url,rating,year
1% of Anything [Something About 1%],http://thefangirlverdict.com/2017/04/29/flash-review-something-about-1-1-of-anything/,B+,2017
18 Again,https://thefangirlverdict.com/2021/01/08/review-18-again/,A,2021
18×2 Beyond Youthful Days [Movie] [Japan-Taiwan],https://thefangirlverdict.com/2024/11/17/flash-review-18x2-beyond-youthful-days-movie-japan-taiwan/,A-,2024
"1st Shop Of Coffee Prince, The [Coffee Prince]",http://thefangirlverdict.com/2019/01/03/review-coffee-prince/,A,2019
20’s [Twenty Years Old],http://thefangirlverdict.com/2015/04/10/flash-review-twenty-years-old-20s/,B+,2015
20th Century Boy And Girl,http://thefangirlverdict.com/2017/12/02/flash-review-20th-century-boy-and-girl/,B,2017
71: Into the Fire [Movie],http://thefangirlverdict.com/2015/03/29/flash-review-71-into-the-fire-movie/,A,2015
9 Seconds: Eternal Time [Web Drama],https://thefangirlverdict.com/2022/02/11/flash-review-9-seconds-eternal-time-web-drama/,B+,2022
A Bad Family [Drama Special],https://thefangirlverdict.com/2021/08/30/flash-review-a-bad-family-drama-special/,A-,2021
A Business Proposal,https://thefangirlverdict.com/2022/05/08/review-a-business-proposal/,B+,2022
A Calm Sea and Beautiful Days with You [Japan],https://thefangirlverdict.com/2025/09/14/review-a-calm-sea-and-beautiful-days-with-you-japan/,A-,2025
A Couple’s World [World Of The Married],http://thefangirlverdict.com/2020/07/21/review-a-couples-world-world-of-the-married/,A-,2020
A Dream Of Splendor [China],https://thefangirlverdict.com/2022/09/18/review-a-dream-of-splendor-china/,B+,2022
A Dream Within A Dream [China],https://thefangirlverdict.com/2025/11/02/review-a-dream-within-a-dream-china/,B+,2025
A Gentleman’s Dignity,http://thefangirlverdict.com/2012/12/12/review-a-gentlemans-dignity/,B-,2012
A Jaunt [Drama Special],https://thefangirlverdict.com/2020/12/18/flash-review-a-jaunt-drama-special/,B++,2020
A Journey To Love [China],https://thefangirlverdict.com/2024/03/04/review-a-journey-to-love-china/,B+,2024
A Love So Beautiful [China],http://thefangirlverdict.com/2018/01/04/flash-review-a-love-so-beautiful-china/,A-,2018
A Melody To Remember [Movie],https://thefangirlverdict.com/2022/05/23/flash-review-a-melody-to-remember-movie/,A,2022
A Moment At Eighteen [At Eighteen],http://thefangirlverdict.com/2020/04/21/review-at-eighteen-a-moment-at-eighteen/,A-,2020
A Piece Of Your Mind,http://thefangirlverdict.com/2020/07/03/review-a-piece-of-your-mind/,B+,2020
A Poem A Day [You Who Forgot Poetry],http://thefangirlverdict.com/2018/08/04/flash-review-a-poem-a-day-you-who-forgot-poetry/,B,2018
A Rose And A Tulip [Japan] [Movie],https://thefangirlverdict.com/2022/03/13/flash-review-a-rose-and-a-tulip-japan-movie/,B,2022
A Sharply Graceful Girl [Japan],http://thefangirlverdict.com/2020/03/31/flash-review-a-sharply-graceful-girl-japan/,B,2020
A Thousand Goodnights [Taiwan],https://thefangirlverdict.com/2021/06/18/flash-review-a-thousand-goodnights-taiwan/,B+,2021
A Time Called You,https://thefangirlverdict.com/2023/11/27/review-a-time-called-you/,B,2023
A Werewolf Boy [Movie],http://thefangirlverdict.com/2016/04/07/flash-review-a-werewolf-boy-movie/,A-,2016
A Virtuous Business,https://thefangirlverdict.com/2024/12/02/review-a-virtuous-business/,B+,2024
Across The Ocean To See You [China],http://thefangirlverdict.com/2018/04/17/flash-review-across-the-ocean-to-see-you-china/,C-,2018
Adoring [China] [Movie],https://thefangirlverdict.com/2022/01/02/flash-review-adoring-china-movie/,B+,2022
"Advisors Alliance, The [China]",http://thefangirlverdict.com/2018/02/15/dropped-the-advisors-alliance-china/,D,2018
After The Rain [Drama Special],https://thefangirlverdict.com/2021/05/03/flash-review-after-the-rain-drama-special/,B++,2021
"Age Of Youth [Hello, My Twenties!]",http://thefangirlverdict.com/2017/03/16/flash-review-age-of-youth/,B++,2017
"Age Of Youth 2 [Hello, My Twenties! 2]",http://thefangirlverdict.com/2018/03/26/review-age-of-youth-2/,B++,2018
Ajoomma [Movie] [Singapore-Korea],https://thefangirlverdict.com/2023/12/25/flash-review-ajoomma-movie-singapore-korea/,B+,2023
Alchemy Of Souls,https://thefangirlverdict.com/2022/09/11/review-alchemy-of-souls/,B++,2022
Alchemy Of Souls: Light And Shadow,https://thefangirlverdict.com/2023/01/16/review-alchemy-of-souls-light-and-shadow/,B++,2023
All About Eve,http://thefangirlverdict.com/2014/02/24/review-all-about-eve/,A-,2014
Always [Only You] [Movie],https://thefangirlverdict.com/2021/10/29/flash-review-always-only-you-movie/,B+,2021
Always Home [China],https://thefangirlverdict.com/2025/07/06/review-always-home-china/,B++,2025
An Empress’s Dignity [The Last Empress],http://thefangirlverdict.com/2019/02/27/flash-review-the-last-empress-an-empresss-dignity/,B,2019
An Incurable Case Of Love [Love Lasts Forever] [Japan],http://thefangirlverdict.com/2020/06/30/flash-review-love-lasts-forever-an-incurable-case-of-love-japan/,B-,2020
Angel’s Last Mission: Love,http://thefangirlverdict.com/2019/07/12/dropped-angels-last-mission-love/,D,2019
Angry Mom,http://thefangirlverdict.com/2015/06/01/review-angry-mom/,A,2015
Another Oh Hae Young [Oh Hae Young Again],http://thefangirlverdict.com/2016/07/05/review-oh-hae-young-again-another-oh-hae-young/,A-,2016
"Answer Me, 1988 [Reply 1988]",http://thefangirlverdict.com/2016/02/21/review-answer-me-1988-reply-1988/,A,2016
"Answer Me, 1994 [Reply 1994]",http://thefangirlverdict.com/2015/04/01/review-answer-me-1994-reply-1994/,A-,2015
"Answer Me, 1997 [Reply 1997]",http://thefangirlverdict.com/2012/12/15/review-answer-me-1997/,A-,2012
Amidst A Snowstorm Of Love [China],https://thefangirlverdict.com/2024/06/30/review-amidst-a-snowstorm-of-love-china/,B+,2024
Arang and the Magistrate,http://thefangirlverdict.com/2012/12/12/review-arang-and-the-magistrate/,A,2012
Are You Human Too?,http://thefangirlverdict.com/2018/08/18/review-are-you-human-too/,B+,2018
